mode,shift,total_n,escape_rate,initial_scale,initial_offset,final_scale,final_offset,mean_selected_k,max_selected_k,mean_observation_budget,mean_base_budget_trim,mean_verifier_topup,mean_estimated_topup_value,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,missed_hidden_rate,objective,work_proxy,bytes_proxy
wpu-online-calibrated-observation,clean,2048,0.25,1.0,0.0,1.0,0.0,30.5,32.0,1.5,0.0,0.0,0.0,0.949219,0.0893,0.918854,0.8125,0.0,0.1118,30.5,1098.0
wpu-verified-online-observation,clean,2048,0.25,1.0,0.0,1.0,0.0,30.5,32.0,1.5,0.0,0.0,0.0,0.949219,0.0893,0.918854,0.8125,0.0,0.1118,30.5,1098.0
wpu-value-budget-online-observation,clean,2048,0.25,1.0,0.0,1.0,0.0,30.5,32.0,1.5,0.0,0.0,0.0,0.949219,0.0893,0.918854,0.8125,0.0,0.1118,30.5,1098.0
wpu-sequential-online-observation,clean,2048,0.25,1.0,0.0,1.0,0.0,30.5,32.0,1.5,0.0,0.0,0.0,0.949219,0.0893,0.918854,0.8125,0.0,0.1118,30.5,1098.0
wpu-composed-online-observation,clean,2048,0.25,1.0,0.0,1.0,0.0,30.5,32.0,1.5,0.0,0.0,0.0,0.949219,0.0893,0.918854,0.8125,0.0,0.1118,30.5,1098.0
wpu-learned-composed-online-observation,clean,2048,0.25,1.0,0.0,1.0,0.0,30.5,32.0,1.5,0.0,0.0,0.0,0.949219,0.0893,0.918854,0.8125,0.0,0.1118,30.5,1098.0
wpu-labeled-calibrated-observation,clean,2048,0.25,1.0,0.0,1.0,0.0,30.5,32.0,1.5,0.0,0.0,0.0,0.949219,0.0893,0.918854,0.8125,0.0,0.1118,30.5,1098.0
wpu-hand-adaptive,clean,2048,0.25,1.0,0.0,1.0,0.0,30.5,32.0,1.5,0.0,0.0,0.0,0.949219,0.0893,0.918854,0.8125,0.0,0.1118,30.5,1098.0
dense-state-copy,clean,2048,0.25,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-learned-observation,clean,2048,0.5,1.0,0.0,1.0,0.0,31.625,32.0,2.796875,0.0,0.0,0.0,0.931641,0.10153,0.909343,0.937872,0.015253,0.143483,31.625,1138.5
wpu-online-calibrated-observation,clean,2048,0.5,1.0,0.0,1.0,0.0,31.625,32.0,2.796875,0.0,0.0,0.0,0.931641,0.10153,0.909343,0.937872,0.015253,0.143483,31.625,1138.5
wpu-verified-online-observation,clean,2048,0.5,1.0,0.0,1.0,0.0,31.625,32.0,2.875,0.0,0.078125,0.003134,0.941406,0.096926,0.913131,0.950893,0.002232,0.140051,31.625,1138.5
wpu-value-budget-online-observation,clean,2048,0.5,1.0,0.0,1.0,0.0,31.625,32.0,2.796875,0.0,0.0,0.0,0.931641,0.10153,0.909343,0.937872,0.015253,0.143483,31.625,1138.5
wpu-sequential-online-observation,clean,2048,0.5,1.0,0.0,1.0,0.0,31.625,32.0,2.796875,0.0,0.0,0.0,0.931641,0.10153,0.909343,0.937872,0.015253,0.143483,31.625,1138.5
wpu-composed-online-observation,clean,2048,0.5,1.0,0.0,1.0,0.0,31.625,32.0,2.796875,0.0,0.0,0.0,0.931641,0.10153,0.909343,0.937872,0.015253,0.143483,31.625,1138.5
wpu-learned-composed-online-observation,clean,2048,0.5,1.0,0.0,1.0,0.0,31.625,32.0,2.875,0.0,0.078125,0.003134,0.941406,0.096926,0.913131,0.950893,0.002232,0.140051,31.625,1138.5
wpu-labeled-calibrated-observation,clean,2048,0.5,1.0,0.0,1.0,0.0,31.625,32.0,2.796875,0.0,0.0,0.0,0.931641,0.10153,0.909343,0.937872,0.015253,0.143483,31.625,1138.5
wpu-hand-adaptive,clean,2048,0.5,1.0,0.0,1.0,0.0,31.625,32.0,2.890625,0.0,0.0,0.0,0.943359,0.095907,0.91396,0.953125,0.0,0.139266,31.625,1138.5
dense-state-copy,clean,2048,0.5,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-learned-observation,clean,2048,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.109375,0.0,0.0,0.0,0.947266,0.093854,0.915258,0.965774,0.034226,0.155495,32.0,1152.0
wpu-online-calibrated-observation,clean,2048,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.109375,0.0,0.0,0.0,0.947266,0.093599,0.91546,0.965774,0.034226,0.15524,32.0,1152.0
wpu-verified-online-observation,clean,2048,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.234375,0.0,0.125,0.005014,0.962891,0.086437,0.921407,0.986607,0.013393,0.149952,32.0,1152.0
wpu-value-budget-online-observation,clean,2048,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.109375,0.0,0.0,0.0,0.947266,0.093599,0.91546,0.965774,0.034226,0.15524,32.0,1152.0
wpu-sequential-online-observation,clean,2048,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.109375,0.0,0.0,0.0,0.947266,0.093599,0.91546,0.965774,0.034226,0.15524,32.0,1152.0
wpu-composed-online-observation,clean,2048,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.109375,0.0,0.0,0.0,0.947266,0.093599,0.91546,0.965774,0.034226,0.15524,32.0,1152.0
wpu-learned-composed-online-observation,clean,2048,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.234375,0.0,0.125,0.005014,0.962891,0.086437,0.921407,0.986607,0.013393,0.149952,32.0,1152.0
wpu-labeled-calibrated-observation,clean,2048,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.109375,0.0,0.0,0.0,0.947266,0.093599,0.91546,0.965774,0.034226,0.15524,32.0,1152.0
wpu-hand-adaptive,clean,2048,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.328125,0.0,0.0,0.0,0.974609,0.081712,0.925314,1.0,0.0,0.146634,32.0,1152.0
dense-state-copy,clean,2048,0.75,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-learned-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-online-calibrated-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-verified-online-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-value-budget-online-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-sequential-online-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-composed-online-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-learned-composed-online-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-labeled-calibrated-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-hand-adaptive,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
dense-state-copy,clean,8192,0.0,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-learned-observation,clean,8192,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.34375,0.0,0.0,0.0,0.945312,0.091995,0.917097,0.796875,0.0,0.112152,30.375,1093.5
wpu-online-calibrated-observation,clean,8192,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.34375,0.0,0.0,0.0,0.945312,0.091995,0.917097,0.796875,0.0,0.112152,30.375,1093.5
wpu-verified-online-observation,clean,8192,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.34375,0.0,0.0,0.0,0.945312,0.091995,0.917097,0.796875,0.0,0.112152,30.375,1093.5
wpu-value-budget-online-observation,clean,8192,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.34375,0.0,0.0,0.0,0.945312,0.091995,0.917097,0.796875,0.0,0.112152,30.375,1093.5
wpu-sequential-online-observation,clean,8192,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.34375,0.0,0.0,0.0,0.945312,0.091995,0.917097,0.796875,0.0,0.112152,30.375,1093.5
wpu-composed-online-observation,clean,8192,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.34375,0.0,0.0,0.0,0.945312,0.091995,0.917097,0.796875,0.0,0.112152,30.375,1093.5
wpu-learned-composed-online-observation,clean,8192,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.34375,0.0,0.0,0.0,0.945312,0.091995,0.917097,0.796875,0.0,0.112152,30.375,1093.5
